state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
4270 episode | score: 19.03 | epsilon: 0.10
4280 episode | score: 19.20 | epsilon: 0.10
4290 episode | score: 18.82 | epsilon: 0.10
4300 episode | score: 18.78 | epsilon: 0.10
4310 episode | score: 18.33 | epsilon: 0.10
4320 episode | score: 18.13 | epsilon: 0.10
4330 episode | score: 18.30 | epsilon: 0.10
4340 episode | score: 18.35 | epsilon: 0.10
4350 episode | score: 19.07 | epsilon: 0.10
4360 episode | score: 19.76 | epsilon: 0.10
4370 episode | score: 20.44 | epsilon: 0.10
4380 episode | score: 20.44 | epsilon: 0.10
4390 episode | score: 20.63 | epsilon: 0.10
4400 episode | score: 20.74 | epsilon: 0.10
4410 episode | score: 20.68 | epsilon: 0.10
4420 episode | score: 22.24 | epsilon: 0.10
4430 episode | score: 22.37 | epsilon: 0.10
4440 episode | score: 22.47 | epsilon: 0.10
4450 episode | score: 22.30 | epsilon: 0.10
4460 episode | score: 21.94 | epsilon: 0.10
4470 episode | score: 21.81 | epsilon: 0.10
4480 episode | score: 21.78 | epsilon: 0.10
4490 episode | score: 21.62 | epsilon: 0.10
4500 episode | score: 21.20 | epsilon: 0.10
4510 episode | score: 20.99 | epsilon: 0.10
4520 episode | score: 20.88 | epsilon: 0.10
4530 episode | score: 20.65 | epsilon: 0.10
4540 episode | score: 20.44 | epsilon: 0.10
4550 episode | score: 20.53 | epsilon: 0.10
4560 episode | score: 20.49 | epsilon: 0.10
4570 episode | score: 20.77 | epsilon: 0.10
4580 episode | score: 20.74 | epsilon: 0.10
4590 episode | score: 20.61 | epsilon: 0.10
4600 episode | score: 20.70 | epsilon: 0.10
4610 episode | score: 20.42 | epsilon: 0.10
4620 episode | score: 20.19 | epsilon: 0.10
4630 episode | score: 20.28 | epsilon: 0.10
4640 episode | score: 20.13 | epsilon: 0.10
4650 episode | score: 20.31 | epsilon: 0.10
4660 episode | score: 20.41 | epsilon: 0.10
4670 episode | score: 20.37 | epsilon: 0.10
4680 episode | score: 20.52 | epsilon: 0.10
4690 episode | score: 20.73 | epsilon: 0.10
4700 episode | score: 20.93 | epsilon: 0.10
4710 episode | score: 21.21 | epsilon: 0.10
4720 episode | score: 21.16 | epsilon: 0.10
4730 episode | score: 21.64 | epsilon: 0.10
4740 episode | score: 21.65 | epsilon: 0.10
4750 episode | score: 22.01 | epsilon: 0.10
4760 episode | score: 21.60 | epsilon: 0.10
4770 episode | score: 21.37 | epsilon: 0.10
4780 episode | score: 21.26 | epsilon: 0.10
4790 episode | score: 21.59 | epsilon: 0.10
4800 episode | score: 21.65 | epsilon: 0.10
4810 episode | score: 22.08 | epsilon: 0.10
4820 episode | score: 22.19 | epsilon: 0.10
4830 episode | score: 22.25 | epsilon: 0.10
4840 episode | score: 22.32 | epsilon: 0.10
4850 episode | score: 21.95 | epsilon: 0.10
4860 episode | score: 22.91 | epsilon: 0.10
4870 episode | score: 23.81 | epsilon: 0.10
4880 episode | score: 24.84 | epsilon: 0.10
4890 episode | score: 26.39 | epsilon: 0.10
4900 episode | score: 25.69 | epsilon: 0.10
4910 episode | score: 25.72 | epsilon: 0.10
4920 episode | score: 25.25 | epsilon: 0.10
4930 episode | score: 24.52 | epsilon: 0.10
4940 episode | score: 24.00 | epsilon: 0.10
4950 episode | score: 23.18 | epsilon: 0.10
4960 episode | score: 22.55 | epsilon: 0.10
4970 episode | score: 21.91 | epsilon: 0.10
4980 episode | score: 21.17 | epsilon: 0.10
4990 episode | score: 20.44 | epsilon: 0.10
5000 episode | score: 20.09 | epsilon: 0.10
5010 episode | score: 19.87 | epsilon: 0.10
5020 episode | score: 19.77 | epsilon: 0.10
5030 episode | score: 19.81 | epsilon: 0.10
5040 episode | score: 20.57 | epsilon: 0.10
5050 episode | score: 20.77 | epsilon: 0.10
5060 episode | score: 20.86 | epsilon: 0.10
5070 episode | score: 21.13 | epsilon: 0.10
5080 episode | score: 21.93 | epsilon: 0.10
5090 episode | score: 21.71 | epsilon: 0.10
5100 episode | score: 22.45 | epsilon: 0.10
5110 episode | score: 22.17 | epsilon: 0.10
5120 episode | score: 21.92 | epsilon: 0.10
5130 episode | score: 22.77 | epsilon: 0.10
